"name","house_url","price","district","developer","class","building","flat","parking","technology","height","yard","floor","otdelka","min_area","building_rate","height_norm","aream_norm","flat_rate"
"ЖК Nur-Ay Residence",NA,"430000","Алмалинский р-н","Диал-Строй",2,1,54,1,3,3.1,NA,12,2,49,2.85185185185185,0.314285714285714,0.1375,1.03511904761905
"ЖК Космо",NA,"4,00E+05","Бостандыкский р-н","АХЭКО",2,1,52,1,3,3,2,13,2,72,3.3525641025641,0.285714285714286,0.233333333333333,1.0959706959707
"ЖК Diamond Hills",NA,"405000","Бостандыкский р-н","Diamond Hills",1,2,45,1,3,3,1,3,4,72,3.85555555555556,0.285714285714286,0.233333333333333,1.10238095238095
"ЖК Посольский",NA,"675000","Бостандыкский р-н","Стройинвест-СК",1,3,21,1,2,3.2,NA,3,4,86,2.88095238095238,0.342857142857143,0.291666666666667,1.21785714285714
"ЖК Esentai City","www.esentai-city.kz","780000","Медеуский р-н","Almaty Vilnius Architects",1,47,1031,1,1,3.25,1,3,2,93,4.02224652784943,0.357142857142857,0.320833333333333,1.51130952380952
"ЖК Orion","www.orion.bazis.kz",NA,"Бостандыкский р-н","BAZIS-А",1,1,276,1,3,2.95,1,33,3,67,4.33695652173913,0.271428571428571,0.2125,0.847564935064935
"ЖК Ile de France","www.iledefrance.kz","690000","Медеуский р-н","Рамс Казахстан",1,1,240,1,3,3.3,1,7,2,56,4.3375,0.371428571428571,0.166666666666667,1.18095238095238
"ЖК Горное солнце","www.gornoesolnce.kz","702000","Бостандыкский р-н","ЖСК Таулы Аспан",1,1,139,1,3,2.8,1,4,1,32,4.34052757793765,0.228571428571428,0.0666666666666667,1.5452380952381
"ЖК Венский дом","www.venskiy-dom.kz","690000","Бостандыкский р-н","Globus Invest Group",1,1,34,1,3,3.05,1,4,2,57,4.36274509803922,0.3,0.170833333333333,1.22083333333333
"Клубный дом «De Ville»","www.deville.kz","722000","Медеуский р-н","Бай Мунай",1,1,31,1,3,3.4,2,10,2,196,3.86559139784946,0.4,0.75,1.75
"ЖК Family Club","www.familyclub.kz","420000","Медеуский р-н","Samal Development",2,3,27,2,NA,3.3,1,3,4,75,2.37037037037037,0.371428571428571,0.245833333333333,1.20059523809524
"ЖК Exclusive Юбилейный","www.ex-u.kz","1200000","Медеуский р-н","Exclusive Qurylys",1,NA,61,NA,NA,3.3,NA,3,3,90,1.01639344262295,0.371428571428571,0.308333333333333,1.34642857142857
"ЖК Parmigiano Club House","www.pgch.kz","580000","Наурызбайский р-н","Almaty Vilnius Architects",2,4,74,1,NA,3.25,NA,5,2,108,1.76351351351351,0.357142857142857,0.383333333333333,1.44047619047619
"ЖК Parasat","www.parasatdom.kz","250000","Турксибский р-н","Sheberbuild",4,NA,130,2,NA,2.7,NA,9,1,38,0.757692307692308,0.2,0.0916666666666667,1.40277777777778
"ЖК Акжар Тау",NA,"170000","Наурызбайский р-н","Дорожник",4,11,216,NA,3,2.8,NA,3,4,40,0.678872053872054,0.228571428571428,0.1,0.911904761904762
"КГ Жана Куат","www.tam.kz","187500","Отеген Батыр","ТАМ Курылыс",3,NA,4090,2,4,2.8,1,3,1,26,2.08357783211084,0.228571428571428,0.0416666666666667,1.60357142857143
"ЖК Nef Uptown","www.nefuptown.kz","540000","Наурызбайский р-н","Nef",1,NA,NA,1,NA,NA,NA,3,NA,NA,2,NA,NA,0.333333333333333
"ЖК Mountain Resort","www.mtown.kz","480000","Бостандыкский р-н","Курылыс Алатау А",2,NA,NA,2,NA,NA,1,2,2,200,2,NA,0.766666666666667,1.76666666666667
"ЖК Woodland Village","www.wlv.kz","450000","Медеуский р-н","Зодчий Казахстан",2,NA,NA,2,NA,NA,1,3,4,NA,2,NA,NA,0.583333333333333
"ЖК Miras Hills",NA,"357200","Наурызбайский р-н","LDd Kz",2,NA,NA,NA,NA,3.2,1,2,4,NA,1.5,0.342857142857143,NA,1.09285714285714
"КГ Тау Дала",NA,"195000","Не задан","Тау Дала",1,NA,NA,2,5,3,NA,2,1,NA,1.7,0.285714285714286,NA,1.78571428571429
"Таунхаус BlackBerry Hills","www.bbhills.kz","430000","Медеуский р-н","NewEstate",2,NA,NA,2,3,2.7,1,3,4,NA,2.33333333333333,0.2,NA,0.783333333333333
"КГ Alatau Village","www.alatau-village.kz","205000","Бесагаш","Kassanov Investment Group",3,NA,NA,2,2,3.2,1,1,4,136,2.33333333333333,0.342857142857143,0.5,2.09285714285714
"ЖК Esentai River Townhouse","www.esentai-river.kz","780000","Медеуский р-н","Almaty Vilnius Architects",2,NA,NA,2,1,3.3,1,3,2,182,3,0.371428571428571,0.691666666666667,1.89642857142857
"КГ Карасу","www.almatykarasu.kz","240000","Алатауский р-н","Тұрғын үй Қарасу",3,NA,NA,2,3,2.75,1,2,4,NA,2.16666666666667,0.214285714285714,NA,0.964285714285714
"ЖК Алмалы","www.almaly.bazis.kz","277000","Алатауский р-н","BAZIS-А",3,39,NA,2,3,2.7,2,14,4,34,1.69230769230769,0.2,0.075,0.596428571428572
"ЖК Меркур Град","www.mercur-grad.kz","289000","Медеуский р-н","KazCARier",3,30,NA,2,3,2.7,2,5,4,37,1.7,0.2,0.0875,0.7375
"ЖК Riviera","www.riviera.bazis.kz","393000","Бостандыкский р-н","BAZIS-А",3,28,NA,1,3,2.95,1,16,3,40,2.70238095238095,0.271428571428571,0.1,0.767261904761905
"ЖК Legenda","www.legenda.bazis.kz","510000","Алмалинский р-н","BAZIS-А",2,27,NA,1,3,3,1,16,3,38,2.87037037037037,0.285714285714286,0.0916666666666667,0.773214285714286
"ЖК JAZZ-квартал","www.jazzkvartal.bazis.kz","387000","Бостандыкский р-н","BAZIS-А",2,19,NA,1,3,2.95,NA,16,3,37,1.8859649122807,0.271428571428571,0.0875,0.754761904761905
"ЖК 4You","www.bi.group","425000","Бостандыкский р-н","BI Group",2,15,NA,1,3,2.7,1,17,4,45,2.9,0.2,0.120833333333333,0.629656862745098
"ЖК Remizovka Town","www.aq-invest.kz","275000","Бостандыкский р-н","Almaty Qurylys Invest",2,12,NA,1,3,3.15,NA,3,4,256,1.91666666666667,0.328571428571429,1,1.91190476190476
"ЖК Sun Hills","www.sunhills.kz","330000","Бостандыкский р-н","MTS Company LTD",2,11,NA,2,3,3,1,2,2,NA,2.42424242424242,0.285714285714286,NA,1.28571428571429
"КД EVIM","www.Instagram","375000","Бостандыкский р-н","Хатеррэйс",3,2,NA,2,3,5.5,1,3,NA,43,2.66666666666667,1,0.1125,1.44583333333333
